Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
true,2024-12-09T02:20:09.773316186+09:00,2024-12-09T02:20:09.993286964+09:00,219,200,81.724827,81.724827,159.783591,72.952311,353.022639,186.355701,148.154715,213.871444,182.014943,186.781103,147.28893
true,2024-12-09T02:20:14.773179936+09:00,2024-12-09T02:20:14.870622528+09:00,97,200,81.724827,81.724827,159.783591,72.966183,353.224384,186.355701,148.218529,213.871444,182.014943,186.781103,147.28893
true,2024-12-09T02:20:19.773604508+09:00,2024-12-09T02:20:19.797622105+09:00,24,200,81.724827,81.724827,159.783591,72.966183,353.224384,186.355701,148.218529,219.145253,182.117485,186.914002,147.28893
true,2024-12-09T02:20:24.773682466+09:00,2024-12-09T02:20:24.800732711+09:00,27,200,81.724827,81.724827,159.783591,77.015723,353.224384,186.355701,148.218529,219.145253,182.117485,186.914002,147.35671
true,2024-12-09T02:20:29.773473401+09:00,2024-12-09T02:20:29.791149444+09:00,17,200,81.776507,81.776507,161.373894,77.015723,353.224384,186.488765,148.218529,219.145253,182.212018,187.043877,147.35671
true,2024-12-09T02:20:34.77328792+09:00,2024-12-09T02:20:34.80109345+09:00,27,200,81.776507,81.776507,161.373894,77.015723,358.122313,186.488765,148.318614,219.145253,182.212018,187.043877,147.415291
true,2024-12-09T02:20:39.772829319+09:00,2024-12-09T02:20:39.795660028+09:00,22,200,81.776507,81.776507,161.373894,77.015723,358.122313,186.586178,148.318614,222.274683,182.212018,187.120601,147.415291
true,2024-12-09T02:20:44.773765548+09:00,2024-12-09T02:20:44.803540822+09:00,29,200,81.776507,81.776507,161.373894,83.255516,361.497692,186.586178,148.318614,222.274683,182.212018,187.120601,147.415291
true,2024-12-09T02:20:49.773358431+09:00,2024-12-09T02:20:49.800396509+09:00,27,200,81.80713,81.80713,163.224813,83.255516,361.497692,186.67836,148.318614,222.274683,182.313018,187.212418,147.415291
true,2024-12-09T02:20:54.773068485+09:00,2024-12-09T02:20:54.794172635+09:00,21,200,81.80713,81.80713,163.224813,88.369921,365.563759,186.67836,148.41975,222.274683,182.313018,187.212418,147.472597
true,2024-12-09T02:20:59.773103132+09:00,2024-12-09T02:20:59.792284854+09:00,19,200,81.80713,81.80713,164.218048,88.369921,365.563759,186.67836,148.41975,228.720779,182.41337,187.212418,147.472597
true,2024-12-09T02:21:04.773406353+09:00,2024-12-09T02:21:04.799861475+09:00,26,200,81.80713,81.80713,164.218048,88.369921,365.563759,186.67836,148.41975,228.720779,182.41337,187.212418,147.52035
true,2024-12-09T02:21:09.773421826+09:00,2024-12-09T02:21:09.796436134+09:00,23,200,81.856219,81.856219,164.218048,88.369921,365.563759,186.794348,148.41975,231.005204,182.41337,187.304774,147.52035
true,2024-12-09T02:21:14.773118895+09:00,2024-12-09T02:21:14.796754543+09:00,23,200,81.856219,81.856219,164.218048,94.023975,368.984345,186.794348,148.524759,231.005204,182.41337,187.304774,147.52035
true,2024-12-09T02:21:19.773065248+09:00,2024-12-09T02:21:19.823115555+09:00,50,200,81.856219,81.856219,165.169096,94.023975,368.984345,186.917164,148.524759,233.05515,182.560943,187.401443,147.52035
true,2024-12-09T02:21:24.773634455+09:00,2024-12-09T02:21:24.792291517+09:00,18,200,81.856219,81.856219,165.169096,94.023975,371.38448,186.917164,148.614371,233.05515,182.560943,187.401443,147.594276
true,2024-12-09T02:21:29.773262719+09:00,2024-12-09T02:21:29.793737426+09:00,20,200,81.919426,81.919426,166.009953,94.023975,371.38448,186.917164,148.614371,233.05515,182.677084,187.401443,147.594276
true,2024-12-09T02:21:34.772699366+09:00,2024-12-09T02:21:34.797345313+09:00,24,200,81.919426,81.919426,166.009953,97.037341,374.071388,186.917164,148.687291,233.05515,182.677084,187.401443,147.64224
true,2024-12-09T02:21:39.773040343+09:00,2024-12-09T02:21:39.790701368+09:00,17,200,81.944925,81.944925,166.009953,97.037341,374.071388,187.027375,148.687291,235.866398,182.766885,187.561539,147.64224
true,2024-12-09T02:21:44.772851466+09:00,2024-12-09T02:21:44.873801636+09:00,100,200,81.944925,81.944925,166.009953,99.081056,377.246026,187.027375,148.687291,235.866398,182.766885,187.561539,147.64224
