Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
true,2024-12-09T02:37:09.32152573+09:00,2024-12-09T02:37:09.539430172+09:00,217,200,85.112549,85.112549,212.190463,118.684181,562.601432,194.341944,154.412785,259.153688,189.989276,195.087392,151.366221
true,2024-12-09T02:37:14.321008227+09:00,2024-12-09T02:37:14.34566897+09:00,24,200,85.112549,85.112549,212.190463,118.704299,562.7754,194.341944,154.513821,259.153688,189.989276,195.087392,151.414519
true,2024-12-09T02:37:19.321420167+09:00,2024-12-09T02:37:19.349686852+09:00,28,200,85.145724,85.145724,212.249414,118.704299,562.7754,194.441995,154.513821,259.153688,190.140978,195.229382,151.414519
true,2024-12-09T02:37:24.321268228+09:00,2024-12-09T02:37:24.339040064+09:00,17,200,85.145724,85.145724,212.249414,118.929884,562.7754,194.441995,154.513821,259.153688,190.140978,195.229382,151.414519
true,2024-12-09T02:37:29.321106298+09:00,2024-12-09T02:37:29.353401771+09:00,32,200,85.178537,85.178537,212.249414,118.929884,563.441739,194.441995,154.513821,259.494629,190.280966,195.346636,151.414519
true,2024-12-09T02:37:34.321617903+09:00,2024-12-09T02:37:34.342211649+09:00,20,200,85.178537,85.178537,212.249414,119.128595,563.68885,194.441995,154.597472,259.494629,190.280966,195.346636,151.47431
true,2024-12-09T02:37:39.321414886+09:00,2024-12-09T02:37:39.345571118+09:00,24,200,85.178537,85.178537,212.392181,119.128595,564.1763169999999,194.590353,154.597472,259.7666,190.280966,195.420452,151.47431
true,2024-12-09T02:37:44.321567304+09:00,2024-12-09T02:37:44.374921703+09:00,53,200,85.178537,85.178537,212.392181,119.128595,564.1763169999999,194.590353,154.669276,259.7666,190.280966,195.420452,151.47431
true,2024-12-09T02:37:49.320815439+09:00,2024-12-09T02:37:49.364925263+09:00,44,200,85.202416,85.202416,212.478134,119.128595,564.1763169999999,194.681108,154.669276,259.7666,190.372213,195.498002,151.47431
true,2024-12-09T02:37:54.320717726+09:00,2024-12-09T02:37:54.341013816+09:00,20,200,85.202416,85.202416,212.478134,119.399506,564.400416,194.681108,154.669276,259.7666,190.372213,195.498002,151.53799
true,2024-12-09T02:37:59.320806356+09:00,2024-12-09T02:37:59.342958416+09:00,22,200,85.237197,85.237197,212.478134,119.399506,564.811191,194.798715,154.669276,260.113922,190.48089,195.498002,151.53799
true,2024-12-09T02:38:04.321431024+09:00,2024-12-09T02:38:04.341996517+09:00,20,200,85.237197,85.237197,212.478134,119.399506,564.992572,194.798715,154.757947,260.113922,190.48089,195.498002,151.600435
true,2024-12-09T02:38:09.321367647+09:00,2024-12-09T02:38:09.34940663+09:00,28,200,85.237197,85.237197,212.536376,119.399506,565.830644,194.798715,154.757947,260.456227,190.48089,195.650507,151.600435
true,2024-12-09T02:38:14.321010605+09:00,2024-12-09T02:38:14.353448206+09:00,32,200,85.237197,85.237197,212.536376,119.711545,565.830644,194.798715,154.853268,260.456227,190.48089,195.650507,151.600435
true,2024-12-09T02:38:19.320909058+09:00,2024-12-09T02:38:19.346583063+09:00,25,200,85.275107,85.275107,212.536376,119.711545,566.268358,194.911039,154.853268,260.456227,190.606851,195.650507,151.600435
true,2024-12-09T02:38:24.320803103+09:00,2024-12-09T02:38:24.340175198+09:00,19,200,85.275107,85.275107,212.536376,119.948897,566.532068,194.911039,154.853268,260.456227,190.606851,195.650507,151.668966
true,2024-12-09T02:38:29.321657798+09:00,2024-12-09T02:38:29.341418634+09:00,19,200,85.291316,85.291316,212.639106,119.948897,566.874825,194.911039,154.853268,260.789288,190.606851,195.790056,151.668966
true,2024-12-09T02:38:34.321712045+09:00,2024-12-09T02:38:34.358090989+09:00,36,200,85.291316,85.291316,212.639106,119.948897,567.035258,194.911039,154.955528,260.789288,190.606851,195.790056,151.668966
true,2024-12-09T02:38:39.321424879+09:00,2024-12-09T02:38:39.343447385+09:00,22,200,85.311941,85.311941,212.70632,119.948897,567.035258,195.061508,154.955528,261.037319,190.746175,195.883987,151.668966
true,2024-12-09T02:38:44.321778162+09:00,2024-12-09T02:38:44.34049255+09:00,18,200,85.311941,85.311941,212.70632,120.222468,567.262146,195.061508,154.955528,261.037319,190.746175,195.883987,151.716815
true,2024-12-09T02:38:49.320728574+09:00,2024-12-09T02:38:49.339631333+09:00,18,200,85.334347,85.334347,212.70632,120.222468,567.493673,195.061508,154.955528,261.253992,190.85114,195.883987,151.716815
true,2024-12-09T02:38:54.321027043+09:00,2024-12-09T02:38:54.339863177+09:00,18,200,85.334347,85.334347,212.70632,120.396502,567.493673,195.061508,155.037293,261.253992,190.85114,195.883987,151.777564
true,2024-12-09T02:38:59.320678774+09:00,2024-12-09T02:38:59.344735706+09:00,24,200,85.334347,85.334347,212.771606,120.396502,567.783306,195.214072,155.037293,261.253992,190.85114,195.978008,151.777564
true,2024-12-09T02:39:04.3207895+09:00,2024-12-09T02:39:04.340493232+09:00,19,200,85.334347,85.334347,212.771606,120.396502,568.029349,195.214072,155.147361,261.253992,190.85114,195.978008,151.777564
true,2024-12-09T02:39:09.321187944+09:00,2024-12-09T02:39:09.341790399+09:00,20,200,85.359041,85.359041,212.826155,120.396502,568.029349,195.34067,155.147361,261.665398,190.967878,196.090215,151.777564
true,2024-12-09T02:39:14.321411392+09:00,2024-12-09T02:39:14.357286332+09:00,35,200,85.359041,85.359041,212.826155,120.641894,568.029349,195.34067,155.147361,261.665398,190.967878,196.090215,151.834718
true,2024-12-09T02:39:19.320746446+09:00,2024-12-09T02:39:19.360102864+09:00,39,200,85.359041,85.359041,212.826155,120.641894,568.029349,195.34067,155.147361,261.665398,190.967878,196.090215,151.834718
true,2024-12-09T02:39:24.320778442+09:00,2024-12-09T02:39:24.345326756+09:00,24,200,85.359041,85.359041,212.826155,120.953167,568.232829,195.34067,155.249517,261.665398,190.967878,196.090215,151.834718
true,2024-12-09T02:39:29.320845155+09:00,2024-12-09T02:39:29.343796515+09:00,22,200,85.44258,85.44258,212.919224,120.953167,568.232829,195.435413,155.249517,262.111014,191.127184,196.252301,151.834718
true,2024-12-09T02:39:34.321441184+09:00,2024-12-09T02:39:34.373794884+09:00,52,200,85.44258,85.44258,212.919224,121.138017,568.4872,195.435413,155.312233,262.111014,191.127184,196.252301,151.892626
true,2024-12-09T02:39:39.32142743+09:00,2024-12-09T02:39:39.34204946+09:00,20,200,85.470061,85.470061,212.919224,121.138017,568.4872,195.53315,155.312233,262.111014,191.241141,196.252301,151.892626
true,2024-12-09T02:39:44.321525231+09:00,2024-12-09T02:39:44.36198352+09:00,40,200,85.470061,85.470061,212.919224,121.138017,568.708667,195.53315,155.377524,262.111014,191.241141,196.252301,151.956725
true,2024-12-09T02:39:49.320911405+09:00,2024-12-09T02:39:49.341526478+09:00,20,200,85.470061,85.470061,213.036752,121.138017,568.708667,195.53315,155.377524,262.568457,191.241141,196.408753,151.956725
true,2024-12-09T02:39:54.321260699+09:00,2024-12-09T02:39:54.339035561+09:00,17,200,85.470061,85.470061,213.036752,121.383915,568.708667,195.53315,155.377524,262.568457,191.241141,196.408753,151.956725
true,2024-12-09T02:39:59.32121652+09:00,2024-12-09T02:39:59.347477381+09:00,26,200,85.506308,85.506308,213.08034,121.383915,568.708667,195.843716,155.377524,262.88362,191.392133,196.526199,151.956725
