Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
true,2024-12-09T02:04:40.090796651+09:00,2024-12-09T02:04:40.198275461+09:00,107,200,79.309128,79.309128,142.267658,58.170164,316.454291,179.301534,142.748009,189.268856,174.567059,179.095516,143.496681
true,2024-12-09T02:04:45.089881783+09:00,2024-12-09T02:04:45.18144585+09:00,91,200,79.309128,79.309128,142.267658,58.170164,316.454291,179.301534,142.854034,189.268856,174.567059,179.095516,143.536294
true,2024-12-09T02:04:50.090026448+09:00,2024-12-09T02:04:50.109048955+09:00,19,200,79.493877,79.493877,142.405148,58.170164,317.389175,179.301534,142.854034,189.268856,174.702682,179.195657,143.536294
true,2024-12-09T02:04:55.08972032+09:00,2024-12-09T02:04:55.10773298+09:00,18,200,79.493877,79.493877,142.405148,58.375037,317.389175,179.301534,142.956996,189.268856,174.702682,179.195657,143.573965
true,2024-12-09T02:05:00.089937468+09:00,2024-12-09T02:05:00.110718341+09:00,20,200,79.493877,79.493877,142.831863,58.375037,317.389175,179.422649,142.956996,189.720266,174.702682,179.303593,143.573965
true,2024-12-09T02:05:05.090545503+09:00,2024-12-09T02:05:05.118774513+09:00,28,200,79.493877,79.493877,142.831863,58.375037,317.389175,179.422649,142.956996,189.720266,174.702682,179.303593,143.612245
true,2024-12-09T02:05:10.089796342+09:00,2024-12-09T02:05:10.107297452+09:00,17,200,79.518928,79.518928,142.831863,58.375037,318.303529,179.422649,142.956996,190.248204,174.822397,179.415742,143.612245
true,2024-12-09T02:05:15.089887449+09:00,2024-12-09T02:05:15.113626525+09:00,23,200,79.518928,79.518928,142.831863,58.8072,318.303529,179.422649,143.041468,190.248204,174.822397,179.415742,143.668532
true,2024-12-09T02:05:20.090246332+09:00,2024-12-09T02:05:20.109903277+09:00,19,200,79.548586,79.548586,143.126084,58.8072,318.811589,179.55954,143.041468,190.248204,174.904381,179.415742,143.668532
true,2024-12-09T02:05:25.090502385+09:00,2024-12-09T02:05:25.109021766+09:00,18,200,79.548586,79.548586,143.126084,59.021232,318.811589,179.55954,143.141419,190.248204,174.904381,179.415742,143.668532
true,2024-12-09T02:05:30.089621479+09:00,2024-12-09T02:05:30.108557821+09:00,18,200,79.548586,79.548586,143.126084,59.021232,319.614871,179.636376,143.141419,190.715615,174.988671,179.55021,143.668532
true,2024-12-09T02:05:35.090184809+09:00,2024-12-09T02:05:35.122065325+09:00,31,200,79.548586,79.548586,143.126084,59.021232,319.614871,179.636376,143.141419,190.715615,174.988671,179.55021,143.742303
true,2024-12-09T02:05:40.090690836+09:00,2024-12-09T02:05:40.112091491+09:00,21,200,79.582253,79.582253,143.67369,59.021232,320.288611,179.725486,143.141419,190.715615,175.084197,179.55021,143.742303
true,2024-12-09T02:05:45.090491194+09:00,2024-12-09T02:05:45.113812542+09:00,23,200,79.582253,79.582253,143.67369,59.234492,320.288611,179.725486,143.231031,190.715615,175.084197,179.55021,143.742303
true,2024-12-09T02:05:50.090091197+09:00,2024-12-09T02:05:50.116507897+09:00,26,200,79.582253,79.582253,143.831008,59.234492,320.288611,179.816271,143.231031,191.291299,175.084197,179.699155,143.742303
true,2024-12-09T02:05:55.090668129+09:00,2024-12-09T02:05:55.110962472+09:00,20,200,79.582253,79.582253,143.831008,59.453345,320.288611,179.816271,143.231031,191.291299,175.084197,179.699155,143.794367
true,2024-12-09T02:06:00.089894007+09:00,2024-12-09T02:06:00.116874234+09:00,26,200,79.619866,79.619866,143.980868,59.453345,321.230555,179.816271,143.231031,191.74327,175.173781,179.836127,143.794367
true,2024-12-09T02:06:05.090365655+09:00,2024-12-09T02:06:05.109229732+09:00,18,200,79.619866,79.619866,143.980868,59.595551,321.230555,179.816271,143.33121,191.74327,175.173781,179.836127,143.873472
