Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
true,2024-12-10T03:03:03.181338196+09:00,2024-12-10T03:03:03.368247297+09:00,186,200,76.10845,76.10845,199.857132,106.241237,328.15907,185.90884,111.688067,230.646607,227.529909,193.329717,159.536846
true,2024-12-10T03:03:08.181918141+09:00,2024-12-10T03:03:08.234831717+09:00,52,200,76.10845,76.10845,199.911302,106.241237,328.15907,185.90884,111.688067,230.799036,227.529909,193.329717,159.536846
true,2024-12-10T03:03:13.18141806+09:00,2024-12-10T03:03:13.223029073+09:00,41,200,76.144622,76.144622,199.911302,106.289538,328.489683,185.90884,111.803317,230.799036,227.529909,193.329717,159.536846
true,2024-12-10T03:03:18.1820077+09:00,2024-12-10T03:03:18.267933724+09:00,85,200,76.144622,76.144622,199.911302,106.289538,328.489683,186.082463,111.803317,230.799036,227.663295,193.329717,159.536846
true,2024-12-10T03:03:23.180885397+09:00,2024-12-10T03:03:23.273447188+09:00,92,200,76.174403,76.174403,199.911302,106.289538,328.489683,186.082463,111.803317,230.799036,227.663295,193.329717,159.802532
true,2024-12-10T03:03:28.180971251+09:00,2024-12-10T03:03:28.226578104+09:00,45,200,76.174403,76.174403,200.033841,106.289538,328.489683,186.180375,111.803317,230.950579,227.752174,193.474437,159.802532
true,2024-12-10T03:03:33.180720994+09:00,2024-12-10T03:03:33.29229614+09:00,111,200,76.174403,76.174403,200.033841,106.364817,328.767118,186.180375,111.899104,230.950579,227.752174,193.474437,159.979081
true,2024-12-10T03:03:38.181521346+09:00,2024-12-10T03:03:38.206390724+09:00,24,200,76.174403,76.174403,200.174345,106.364817,328.767118,186.306799,111.899104,230.950579,227.840018,193.567331,159.979081
true,2024-12-10T03:03:43.181066566+09:00,2024-12-10T03:03:43.200742319+09:00,19,200,76.194815,76.194815,200.174345,106.364817,328.98795,186.306799,111.964091,230.950579,227.840018,193.567331,159.979081
true,2024-12-10T03:03:48.180806419+09:00,2024-12-10T03:03:48.237368892+09:00,56,200,76.194815,76.194815,200.174345,106.364817,328.98795,186.392677,111.964091,231.080252,227.913184,193.567331,159.979081
true,2024-12-10T03:03:53.181511141+09:00,2024-12-10T03:03:53.235563749+09:00,54,200,76.242021,76.242021,200.174345,106.425185,329.245884,186.392677,112.026953,231.080252,227.913184,193.567331,160.218609
true,2024-12-10T03:03:58.180711358+09:00,2024-12-10T03:03:58.22370723+09:00,42,200,76.242021,76.242021,200.312753,106.425185,329.245884,186.392677,112.026953,231.225922,228.008349,193.652767,160.218609
true,2024-12-10T03:04:03.180790797+09:00,2024-12-10T03:04:03.209593616+09:00,28,200,76.242021,76.242021,200.312753,106.425185,329.245884,186.392677,112.026953,231.225922,228.008349,193.652767,160.218609
true,2024-12-10T03:04:08.18054279+09:00,2024-12-10T03:04:08.201880811+09:00,21,200,76.242021,76.242021,200.424481,106.425185,329.245884,186.510873,112.026953,231.225922,228.008349,193.816425,160.218609
true,2024-12-10T03:04:13.180880103+09:00,2024-12-10T03:04:13.213354348+09:00,32,200,76.28941,76.28941,200.424481,106.486928,329.530685,186.510873,112.104938,231.225922,228.008349,193.816425,160.345904
true,2024-12-10T03:04:18.181706913+09:00,2024-12-10T03:04:18.220425235+09:00,38,200,76.28941,76.28941,200.424481,106.486928,329.530685,186.602454,112.104938,231.309516,228.086965,193.816425,160.345904
true,2024-12-10T03:04:23.182361733+09:00,2024-12-10T03:04:23.314661856+09:00,132,200,76.28941,76.28941,200.424481,106.542838,329.801471,186.602454,112.164907,231.309516,228.086965,193.816425,160.528564
true,2024-12-10T03:04:28.181191987+09:00,2024-12-10T03:04:28.274533402+09:00,93,200,76.28941,76.28941,200.527169,106.542838,329.801471,186.602454,112.164907,231.429271,228.162634,193.957588,160.528564
true,2024-12-10T03:04:33.18078708+09:00,2024-12-10T03:04:33.209071777+09:00,28,200,76.328305,76.328305,200.527169,106.542838,329.801471,186.602454,112.233098,231.429271,228.162634,193.957588,160.642376
true,2024-12-10T03:04:38.180786078+09:00,2024-12-10T03:04:38.207901579+09:00,27,200,76.328305,76.328305,200.527169,106.542838,329.801471,186.766633,112.233098,231.429271,228.275525,193.957588,160.642376
true,2024-12-10T03:04:43.18050352+09:00,2024-12-10T03:04:43.200405868+09:00,19,200,76.39042,76.39042,200.527169,106.597561,330.107943,186.766633,112.233098,231.429271,228.275525,193.957588,160.642376
true,2024-12-10T03:04:48.18107257+09:00,2024-12-10T03:04:48.198941497+09:00,17,200,76.39042,76.39042,200.67162,106.597561,330.107943,186.766633,112.233098,231.545857,228.355541,194.097815,160.642376
true,2024-12-10T03:04:53.180950711+09:00,2024-12-10T03:04:53.22954176+09:00,48,200,76.39042,76.39042,200.67162,106.64185,330.355438,186.766633,112.315672,231.545857,228.355541,194.097815,160.758349
true,2024-12-10T03:04:58.182609733+09:00,2024-12-10T03:04:58.208312932+09:00,25,200,76.39042,76.39042,200.790848,106.64185,330.355438,186.901175,112.315672,231.640096,228.355541,194.216205,160.758349
true,2024-12-10T03:05:03.18151494+09:00,2024-12-10T03:05:03.278869882+09:00,97,200,76.42342,76.42342,200.790848,106.64185,330.355438,186.901175,112.389478,231.640096,228.355541,194.216205,161.009064
true,2024-12-10T03:05:08.1817441+09:00,2024-12-10T03:05:08.222158755+09:00,40,200,76.42342,76.42342,200.790848,106.64185,330.355438,187.010701,112.389478,231.640096,228.454375,194.216205,161.009064
true,2024-12-10T03:05:13.18096611+09:00,2024-12-10T03:05:13.205975237+09:00,25,200,76.458787,76.458787,200.790848,106.709442,330.59672,187.010701,112.455721,231.640096,228.454375,194.216205,161.009064
true,2024-12-10T03:05:18.181146709+09:00,2024-12-10T03:05:18.202930061+09:00,21,200,76.458787,76.458787,200.938224,106.709442,330.59672,187.12348,112.455721,231.792024,228.574687,194.377467,161.009064
true,2024-12-10T03:05:23.180744558+09:00,2024-12-10T03:05:23.253213036+09:00,72,200,76.480929,76.480929,200.938224,106.709442,330.808066,187.12348,112.455721,231.792024,228.574687,194.377467,161.19511
true,2024-12-10T03:05:28.182758309+09:00,2024-12-10T03:05:28.210129011+09:00,27,200,76.480929,76.480929,200.938224,106.709442,330.808066,187.12348,112.455721,231.884538,228.574687,194.377467,161.19511
true,2024-12-10T03:05:33.18198751+09:00,2024-12-10T03:05:33.203017393+09:00,21,200,76.480929,76.480929,200.938224,106.778481,331.082157,187.12348,112.557097,231.884538,228.574687,194.377467,161.19511
true,2024-12-10T03:05:38.181523329+09:00,2024-12-10T03:05:38.217637015+09:00,36,200,76.480929,76.480929,201.060086,106.778481,331.082157,187.298302,112.557097,231.884538,228.680048,194.495179,161.19511
true,2024-12-10T03:05:43.181447019+09:00,2024-12-10T03:05:43.205145168+09:00,23,200,76.509554,76.509554,201.060086,106.831483,331.285599,187.298302,112.621209,231.884538,228.680048,194.495179,161.307876
true,2024-12-10T03:05:48.180688656+09:00,2024-12-10T03:05:48.217788948+09:00,37,200,76.509554,76.509554,201.060086,106.831483,331.285599,187.298302,112.621209,232.024833,228.680048,194.645985,161.307876
true,2024-12-10T03:05:53.181672099+09:00,2024-12-10T03:05:53.266837754+09:00,85,200,76.547226,76.547226,201.060086,106.831483,331.285599,187.298302,112.621209,232.024833,228.680048,194.645985,161.307876
